,country,year,gender,age,suicides_no,population,suicides_100k_pop,gdp_for_year,gdp_per_capita
0,Albania,1987,male,15-24 years,21.0,312900,6.71,"2,15,66,24,900",796.0
1,Albania,1987,male,35-54 years,16.0,308000,5.19,"2,15,66,24,900",796.0
2,Albania,1987,female,15-24 years,14.0,289700,4.83,"2,15,66,24,900",796.0
3,Albania,1987,male,75+ years,1.0,21800,4.59,"2,15,66,24,900",796.0
4,Albania,1987,male,25-34 years,9.0,274300,3.28,"2,15,66,24,900",796.0
5,Albania,1987,female,75+ years,1.0,35600,2.81,"2,15,66,24,900",796.0
6,Albania,1987,female,35-54 years,6.0,278800,2.15,"2,15,66,24,900",796.0
7,Albania,1987,female,25-34 years,4.0,257200,1.56,"2,15,66,24,900",796.0
8,Albania,1987,male,55-74 years,1.0,137500,0.73,"2,15,66,24,900",796.0
9,Albania,1987,female,05-14 years,0.0,311000,0.0,"2,15,66,24,900",796.0
10,Albania,1987,female,55-74 years,0.0,144600,0.0,"2,15,66,24,900",796.0
11,Albania,1987,male,05-14 years,0.0,338200,0.0,"2,15,66,24,900",796.0
12,Albania,1988,female,75+ years,2.0,36400,5.49,"2,12,60,00,000",769.0
13,Albania,1988,male,15-24 years,17.0,319200,5.33,"2,12,60,00,000",769.0
14,Albania,1988,male,75+ years,1.0,22300,4.48,"2,12,60,00,000",769.0
15,Albania,1988,male,35-54 years,14.0,314100,4.46,"2,12,60,00,000",769.0
16,Albania,1988,male,55-74 years,4.0,140200,2.85,"2,12,60,00,000",769.0
17,Albania,1988,female,15-24 years,8.0,295600,2.71,"2,12,60,00,000",769.0
18,Albania,1988,female,55-74 years,3.0,147500,2.03,"2,12,60,00,000",769.0
19,Albania,1988,female,25-34 years,5.0,262400,1.91,"2,12,60,00,000",769.0
20,Albania,1988,male,25-34 years,5.0,279900,1.79,"2,12,60,00,000",769.0
21,Albania,1988,female,35-54 years,4.0,284500,1.41,"2,12,60,00,000",769.0
22,Albania,1988,female,05-14 years,0.0,317200,0.0,"2,12,60,00,000",769.0
23,Albania,1988,male,05-14 years,0.0,345000,0.0,"2,12,60,00,000",769.0
24,Albania,1989,male,75+ years,2.0,22500,8.89,"2,33,51,24,988",833.0
25,Albania,1989,male,25-34 years,18.0,283600,6.35,"2,33,51,24,988",833.0
26,Albania,1989,male,35-54 years,15.0,318400,4.71,"2,33,51,24,988",833.0
27,Albania,1989,male,55-74 years,6.0,142100,4.22,"2,33,51,24,988",833.0
28,Albania,1989,male,15-24 years,12.0,323500,3.71,"2,33,51,24,988",833.0
29,Albania,1989,female,35-54 years,7.0,288600,2.43,"2,33,51,24,988",833.0
30,Albania,1989,female,15-24 years,5.0,299900,1.67,"2,33,51,24,988",833.0
31,Albania,1989,female,25-34 years,2.0,266300,0.75,"2,33,51,24,988",833.0
32,Albania,1989,female,55-74 years,1.0,149600,0.67,"2,33,51,24,988",833.0
33,Albania,1989,female,05-14 years,0.0,321900,0.0,"2,33,51,24,988",833.0
34,Albania,1989,female,75+ years,0.0,37000,0.0,"2,33,51,24,988",833.0
35,Albania,1989,male,05-14 years,0.0,349700,0.0,"2,33,51,24,988",833.0
36,Albania,1992,male,35-54 years,12.0,343800,3.49,"70,94,52,584",251.0
37,Albania,1992,male,15-24 years,9.0,263700,3.41,"70,94,52,584",251.0
38,Albania,1992,male,55-74 years,5.0,159500,3.13,"70,94,52,584",251.0
39,Albania,1992,male,25-34 years,7.0,245500,2.85,"70,94,52,584",251.0
40,Albania,1992,female,15-24 years,7.0,292400,2.39,"70,94,52,584",251.0
41,Albania,1992,female,25-34 years,4.0,267400,1.5,"70,94,52,584",251.0
42,Albania,1992,female,35-54 years,2.0,323100,0.62,"70,94,52,584",251.0
43,Albania,1992,female,55-74 years,1.0,164900,0.61,"70,94,52,584",251.0
44,Albania,1992,female,05-14 years,0.0,336700,0.0,"70,94,52,584",251.0
45,Albania,1992,female,75+ years,0.0,38700,0.0,"70,94,52,584",251.0
46,Albania,1992,male,05-14 years,0.0,362900,0.0,"70,94,52,584",251.0
47,Albania,1992,male,75+ years,0.0,23900,0.0,"70,94,52,584",251.0
48,Albania,1993,male,15-24 years,18.0,243300,7.4,"1,22,80,71,038",437.0
49,Albania,1993,male,55-74 years,7.0,165000,4.24,"1,22,80,71,038",437.0
50,Albania,1993,male,75+ years,1.0,24200,4.13,"1,22,80,71,038",437.0
51,Albania,1993,male,25-34 years,9.0,230100,3.91,"1,22,80,71,038",437.0
52,Albania,1993,female,15-24 years,10.0,285300,3.51,"1,22,80,71,038",437.0
53,Albania,1993,male,35-54 years,10.0,350300,2.85,"1,22,80,71,038",437.0
54,Albania,1993,female,25-34 years,7.0,261800,2.67,"1,22,80,71,038",437.0
55,Albania,1993,female,35-54 years,7.0,331200,2.11,"1,22,80,71,038",437.0
56,Albania,1993,female,55-74 years,2.0,169500,1.18,"1,22,80,71,038",437.0
57,Albania,1993,female,05-14 years,1.0,340300,0.29,"1,22,80,71,038",437.0
58,Albania,1993,male,05-14 years,1.0,367000,0.27,"1,22,80,71,038",437.0
59,Albania,1993,female,75+ years,0.0,39300,0.0,"1,22,80,71,038",437.0
60,Albania,1994,male,75+ years,2.0,24600,8.13,"1,98,56,73,798",697.0
61,Albania,1994,male,55-74 years,11.0,171400,6.42,"1,98,56,73,798",697.0
62,Albania,1994,female,75+ years,2.0,39900,5.01,"1,98,56,73,798",697.0
63,Albania,1994,male,25-34 years,6.0,231400,2.59,"1,98,56,73,798",697.0
64,Albania,1994,male,35-54 years,9.0,362800,2.48,"1,98,56,73,798",697.0
65,Albania,1994,male,15-24 years,6.0,242200,2.48,"1,98,56,73,798",697.0
66,Albania,1994,female,15-24 years,6.0,282600,2.12,"1,98,56,73,798",697.0
67,Albania,1994,female,25-34 years,4.0,261100,1.53,"1,98,56,73,798",697.0
68,Albania,1994,female,35-54 years,2.0,342500,0.58,"1,98,56,73,798",697.0
69,Albania,1994,female,55-74 years,1.0,174600,0.57,"1,98,56,73,798",697.0
70,Albania,1994,male,05-14 years,1.0,371800,0.27,"1,98,56,73,798",697.0
71,Albania,1994,female,05-14 years,0.0,344400,0.0,"1,98,56,73,798",697.0
72,Albania,1995,male,25-34 years,13.0,232900,5.58,"2,42,44,99,009",835.0
73,Albania,1995,male,55-74 years,9.0,178000,5.06,"2,42,44,99,009",835.0
74,Albania,1995,female,75+ years,2.0,40800,4.9,"2,42,44,99,009",835.0
75,Albania,1995,female,15-24 years,13.0,283500,4.59,"2,42,44,99,009",835.0
76,Albania,1995,male,15-24 years,11.0,241200,4.56,"2,42,44,99,009",835.0
77,Albania,1995,male,75+ years,1.0,25100,3.98,"2,42,44,99,009",835.0
78,Albania,1995,male,35-54 years,14.0,375900,3.72,"2,42,44,99,009",835.0
79,Albania,1995,female,25-34 years,7.0,264000,2.65,"2,42,44,99,009",835.0
80,Albania,1995,female,35-54 years,8.0,356400,2.24,"2,42,44,99,009",835.0
81,Albania,1995,male,05-14 years,6.0,376500,1.59,"2,42,44,99,009",835.0
82,Albania,1995,female,55-74 years,2.0,180400,1.11,"2,42,44,99,009",835.0
83,Albania,1995,female,05-14 years,2.0,348700,0.57,"2,42,44,99,009",835.0
84,Albania,1996,male,75+ years,2.0,25400,7.87,"3,31,48,98,292",1127.0
85,Albania,1996,male,15-24 years,17.0,243600,6.98,"3,31,48,98,292",1127.0
86,Albania,1996,male,25-34 years,14.0,235300,5.95,"3,31,48,98,292",1127.0
87,Albania,1996,female,15-24 years,16.0,287700,5.56,"3,31,48,98,292",1127.0
88,Albania,1996,female,75+ years,2.0,41200,4.85,"3,31,48,98,292",1127.0
89,Albania,1996,female,25-34 years,10.0,267900,3.73,"3,31,48,98,292",1127.0
90,Albania,1996,male,35-54 years,12.0,379600,3.16,"3,31,48,98,292",1127.0
91,Albania,1996,female,35-54 years,9.0,362000,2.49,"3,31,48,98,292",1127.0
92,Albania,1996,male,55-74 years,3.0,179900,1.67,"3,31,48,98,292",1127.0
93,Albania,1996,female,55-74 years,1.0,183100,0.55,"3,31,48,98,292",1127.0
94,Albania,1996,male,05-14 years,2.0,380400,0.53,"3,31,48,98,292",1127.0
95,Albania,1996,female,05-14 years,1.0,354100,0.28,"3,31,48,98,292",1127.0
96,Albania,1997,male,25-34 years,36.0,236000,15.25,"2,35,99,03,108",793.0
97,Albania,1997,male,15-24 years,33.0,244400,13.5,"2,35,99,03,108",793.0
98,Albania,1997,male,75+ years,3.0,25400,11.81,"2,35,99,03,108",793.0
99,Albania,1997,male,35-54 years,30.0,380800,7.88,"2,35,99,03,108",793.0
100,Albania,1997,female,15-24 years,21.0,294000,7.14,"2,35,99,03,108",793.0
101,Albania,1997,male,55-74 years,12.0,180300,6.66,"2,35,99,03,108",793.0
102,Albania,1997,female,25-34 years,16.0,273900,5.84,"2,35,99,03,108",793.0
103,Albania,1997,female,75+ years,2.0,42100,4.75,"2,35,99,03,108",793.0
104,Albania,1997,female,35-54 years,7.0,370100,1.89,"2,35,99,03,108",793.0
105,Albania,1997,female,05-14 years,6.0,361800,1.66,"2,35,99,03,108",793.0
106,Albania,1997,male,05-14 years,4.0,381500,1.05,"2,35,99,03,108",793.0
107,Albania,1997,female,55-74 years,0.0,187000,0.0,"2,35,99,03,108",793.0
108,Albania,1998,male,75+ years,3.0,25800,11.63,"2,70,71,23,772",899.0
109,Albania,1998,male,15-24 years,27.0,248800,10.85,"2,70,71,23,772",899.0
110,Albania,1998,female,15-24 years,32.0,295600,10.83,"2,70,71,23,772",899.0
111,Albania,1998,male,25-34 years,26.0,240400,10.82,"2,70,71,23,772",899.0
112,Albania,1998,male,35-54 years,29.0,388200,7.47,"2,70,71,23,772",899.0
113,Albania,1998,male,55-74 years,9.0,183800,4.9,"2,70,71,23,772",899.0
